,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
0,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
288,Creation,TOP,4,25%,1.2,1.8,4.3,3.3,7.9,369,21.5,337,0.99,0.55,0.16,0.22,-886,-15,-388,0%,25%,0,-
289,Crecre,SUPPORT,2,0%,0.2,0,4.5,1,2.9,231,10.0,143,1.73,1.04,0.24,0.32,-533,28,-682,0%,0%,0,-
290,Creon,ADC,19,52.6%,3.3,3.7,2.9,5.9,8.7,424,25.0,511,1.03,0.38,0.27,0.18,43,1,-116,5.3%,10.5%,0,1
291,Crisp,SUPPORT,110,77.3%,4.7,1,2.3,9.9,1.6,282,7.9,148,2.50,1.56,0.28,0.50,368,0,142,8.2%,0%,0,-
292,Crocomux,MID,12,8.3%,1.8,2.1,3.3,4,7.4,336,33.4,519,0.73,0.34,0.12,0.10,-529,-10,25,16.7%,16.7%,0,3
293,Croka,ADC,2,0%,2.8,2.5,2,3,10.1,408,25.7,420,1.37,0.50,0.46,0.22,206,8,299,0%,0%,0,1
294,Crossman,SUPPORT,4,25%,2.1,0.3,2.5,5,1.3,219,10.4,132,1.53,0.73,0.23,0.17,-186,-2,-122,25%,25%,0,-
295,Crown,MID,44,40.9%,2.7,2.6,2.6,4.2,8.9,401,31.1,527,1.14,0.57,0.23,0.29,40,2,111,27.3%,9.1%,0,15
296,Crownshot,ADC,42,42.9%,3.3,3.9,2.5,4.5,9.9,451,30.0,545,1.18,0.37,0.39,0.13,107,5,-16,21.4%,7.1%,0,4
297,Crush,JUNGLE,1,0%,1,1,5,4,4.7,283,9.1,175,1.67,0.90,0.44,0.36,-1243,-1,86,0%,0%,0,-
298,Crystal,JUNGLE,25,44%,2.4,1.9,2.9,5,4.8,312,11.8,192,1.73,0.67,0.41,0.24,-467,-12,-430,16%,32%,0,1
299,CuVee,TOP,75,48%,2.4,2.2,2.2,3.2,8.4,382,23.7,366,1.12,0.50,0.22,0.22,-209,-6,-97,10.7%,13.3%,0,20
300,Cube,TOP,17,35.3%,3.7,2.4,1.7,3.9,8.2,380,21.5,432,-,0.46,0.13,0.16,-,-,-,-,-,0,-
301,Cupcake,SUPPORT,1,100%,12,1,1,11,0.6,297,11.2,265,2.05,0.92,0.30,0.26,-153,-22,328,0%,0%,0,-
302,Curator,JUNGLE,38,39.5%,1.7,1.9,4.8,6,4.5,302,13.2,246,1.56,0.56,0.34,0.34,-468,-6,-442,28.9%,15.8%,0,3
303,Curse,TOP,34,20.6%,1.6,2.7,3.7,3.4,8.5,383,23.7,387,-,0.47,0.17,0.18,-,-,-,0%,0%,0,-
304,Cuzz,JUNGLE,109,58.7%,3.8,2.3,2.2,6,5.4,339,15.8,277,2.29,0.92,0.58,0.37,158,5,235,39.4%,6.4%,0,7
305,Cyber,ADC,1,0%,0.7,0,3,2,7.5,302,17.1,199,0.65,0.29,0.07,0.07,-907,-29,-57,0%,0%,0,-
306,Czajek,MID,5,40%,5.2,2.2,1.2,4,8.6,384,30.3,434,1.05,0.38,0.21,0.17,71,-9,-45,20%,0%,0,-
307,Czaru,TOP,25,52%,3.1,3.3,2.8,5.5,7.4,382,25.0,493,0.98,0.33,0.13,0.09,-117,-6,22,16%,12%,0,9
308,Czekolad,MID,23,30.4%,3.2,3,2.2,4.2,8.5,385,25.7,431,1.00,0.51,0.20,0.22,122,3,103,17.4%,4.3%,0,6
309,D4nKa,JUNGLE,14,50%,3.1,2.1,2.8,6.5,4.7,315,12.8,208,1.71,0.79,0.37,0.40,429,7,188,50%,21.4%,0,3
310,DCStar,SUPPORT,21,28.6%,1.6,0.8,4,5.6,1.6,244,8.5,134,2.12,1.39,0.21,0.42,-194,-1,-138,23.8%,23.8%,0,-
311,DDC,ADC,3,33.3%,2.1,1,3,5.3,7.9,358,25.2,415,0.95,0.45,0.24,0.16,-754,-24,-479,33.3%,0%,0,-
312,DNK,JUNGLE,89,55.1%,3.5,3,2.8,6.9,4.9,343,17.8,324,1.41,0.44,0.34,0.31,15,-3,-23,39.3%,10.1%,0,16
313,Daejin,SUPPORT,3,0%,0.8,0.3,4.7,3.3,1,221,6.9,113,2.51,1.25,0.42,0.35,248,-5,-81,66.7%,0%,0,-
314,DahVys,JUNGLE,9,33.3%,3.8,3.3,2.7,6.7,5.4,348,18.5,363,1.24,0.36,0.29,0.29,169,9,521,22.2%,11.1%,0,-
315,Daiblo,JUNGLE,21,33.3%,2.7,3.1,4,7.5,5.1,337,17.3,318,1.56,0.65,0.32,0.28,-191,2,76,38.1%,4.8%,0,9
316,Damage,SUPPORT,45,46.7%,2.4,0.8,3.1,6.5,1.6,259,8.2,137,2.20,1.24,0.32,0.38,-164,-1,-236,24.4%,17.8%,0,1
317,Dambaj,ADC,39,41%,3.4,3.5,2.3,4.4,8.7,403,27.2,482,1.07,0.35,0.31,0.12,-410,-13,-190,10.3%,2.6%,0,7
318,Damonte,MID,78,47.4%,3.5,2.7,2.1,4.6,8.6,387,22.5,408,1.03,0.48,0.19,0.23,-108,-1,-212,17.9%,9%,0,18
319,Dan Dan,TOP,82,61%,2.7,2.6,2.5,4.3,8.5,413,21.0,440,0.89,0.42,0.13,0.13,170,7,306,8.5%,9.8%,0,31
320,Dardoch,JUNGLE,40,37.5%,2.6,2.7,3.1,5.4,5.3,331,16.6,304,1.63,0.57,0.40,0.23,-26,8,135,27.5%,10%,1,4
321,Darkness,MID,6,16.7%,2.1,2.3,2.7,3.3,8.3,359,23.8,395,0.88,0.36,0.20,0.15,-987,-13,-389,16.7%,0%,0,4
322,Darko,SUPPORT,1,0%,3,0,3,9,1.4,205,3.5,74,2.29,1.44,0.31,0.54,-338,22,471,0%,0%,0,-
323,Darkrai1,TOP,6,16.7%,1.1,2.3,3.8,2,7.2,339,20.0,352,0.82,0.44,0.13,0.13,-773,-14,-562,0%,33.3%,0,1
