,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
0,Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM*,%Dmg,Avg DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
676,Jorx,JUNGLE,1,0%,3,2,4,10,4.5,314,8.4,174,1.77,0.54,0.51,0.46,-136,4,206,0%,0%,0,-
677,Josedeodo,JUNGLE,47,38.3%,3.6,1.6,2.1,5.7,4.7,306,11.3,193,2.05,0.85,0.50,0.38,-15,0,104,48.9%,8.5%,0,4
678,JosemiBiceps,JUNGLE,4,50%,3.4,2.8,2.8,6.5,5.3,341,18.6,278,1.61,0.58,0.36,0.25,224,3,373,0%,0%,0,-
679,Jukes,TOP,12,83.3%,4.7,4.3,2.5,7.4,7.5,404,20.2,450,0.90,0.48,0.15,0.19,-507,-6,-209,8.3%,25%,0,1
680,Jumbo,SUPPORT,21,33.3%,2.2,1,3.9,7.8,1,236,9.4,178,1.94,1.06,0.28,0.35,-441,1,-130,14.3%,4.8%,0,-
681,Juuzou,TOP,18,27.8%,2.2,2.5,2.8,3.8,7.8,369,21.7,381,0.89,0.47,0.13,0.19,-410,-7,-297,22.2%,5.6%,0,8
682,K,SUPPORT,82,50%,3.9,0.5,2,7.2,1.5,244,9.1,151,2.39,1.59,0.29,0.52,-118,1,-117,25.6%,7.3%,0,-
683,KEITH,ADC,53,73.6%,5.1,4,2.2,7.1,8.9,441,28.0,566,1.19,0.49,0.30,0.21,526,8,203,20.8%,7.5%,1,5
684,KaKAO,JUNGLE,7,71.4%,13.6,4.3,0.7,5.4,6.1,375,24.0,423,1.86,0.87,0.35,0.32,567,12,510,57.1%,0%,0,4
685,KaSing,SUPPORT,39,43.6%,3.9,0.8,2,7,1.4,256,9.0,161,2.53,1.48,0.32,0.46,-17,-2,34,20.5%,10.3%,0,2
686,Kaasbaas,SUPPORT,6,33.3%,2.1,1,4.2,7.7,1.3,237,8.7,134,2.32,1.29,0.33,0.45,327,8,-2,50%,0%,0,-
687,Kabbie,SUPPORT,1,100%,12,1,1,11,2.4,354,5.4,80,2.17,1.26,0.24,0.32,1070,26,428,100%,0%,0,-
688,Kackos,TOP,68,36.8%,2.6,2.2,2.7,4.9,7.7,357,20.4,362,1.06,0.53,0.16,0.21,-210,-4,-239,11.8%,19.1%,0,11
689,Kadaver,ADC,17,41.2%,5.2,5.9,2.3,5.9,9.8,464,31.2,631,1.09,0.37,0.27,0.15,238,8,57,35.3%,5.9%,0,3
690,Kagame,ADC,18,83.3%,5.5,2.9,1.7,6.3,8.1,413,19.8,421,1.07,0.54,0.20,0.24,-417,-22,-57,11.1%,16.7%,0,-
691,Kaido,TOP,2,0%,1.3,3.5,6,4.5,7.6,379,17.7,297,0.87,0.51,0.10,0.20,-590,-1,-1288,0%,50%,0,-
692,Kaigu,TOP,1,100%,4,5,2,3,7.6,363,17.4,407,0.95,0.37,0.12,0.04,-781,-10,-240,0%,0%,0,2
693,Kairos,SUPPORT,3,33.3%,3.3,0.7,4,12.3,1.2,258,8.0,143,1.89,1.16,0.11,0.21,922,-6,651,0%,33.3%,0,-
694,Kaiwing,SUPPORT,91,54.9%,4.4,0.7,1.9,7.6,1.6,273,9.5,173,2.27,1.39,0.28,0.38,177,-3,70,24.2%,7.7%,0,3
695,Kaiz,JUNGLE,38,57.9%,2.7,3.7,4.2,7.3,4.8,347,16.4,339,1.59,0.60,0.35,0.38,170,2,247,50%,13.2%,0,12
696,Kalwerd,MID,9,22.2%,3.2,2.8,2.3,4.8,8.3,375,35.9,690,1.03,0.49,0.17,0.23,-270,-8,141,33.3%,0%,0,5
697,Kamil,JUNGLE,37,56.8%,3.5,2.8,2.8,7,5.3,347,14.8,299,1.70,0.59,0.38,0.28,297,6,121,32.4%,8.1%,0,7
698,Kanavi,JUNGLE,16,37.5%,2.6,3.5,3.6,5.8,5.3,359,19.1,396,2.22,0.52,0.42,0.25,-80,-4,-69,0%,6.3%,0,-
699,Kane,ADC,22,18.2%,2.1,2.2,2.7,3.4,9.4,411,30.2,496,-,0.40,0.36,0.12,-,-,-,-,-,0,-
700,Kanin,MID,3,0%,1.7,2.7,4,4,6.4,321,23.4,348,0.89,0.43,0.22,0.13,-1386,-23,-1033,33.3%,0%,0,1
701,Kaori,ADC,2,0%,1.4,0.5,4,5,7.6,349,22.6,361,0.89,0.46,0.23,0.21,-1185,-40,-909,50%,50%,0,-
702,Karimkt,JUNGLE,28,32.1%,2,2.6,4.3,6.1,4.5,316,13.8,266,1.28,0.54,0.26,0.36,-150,-6,-154,35.7%,7.1%,0,8
703,Karsa,JUNGLE,93,61.3%,3.9,2.8,2.7,7.6,4.8,335,14.2,252,2.16,0.89,0.46,0.44,-98,-2,-318,3.2%,0%,0,-
704,Kashtelan,ADC,4,75%,5.6,4,1.8,5.8,8.4,418,25.8,476,1.00,0.38,0.17,0.12,781,3,121,50%,0%,0,1
705,Kashtelan,MID,79,59.5%,4.1,3.3,2.1,5.4,8.9,413,28.8,531,0.95,0.42,0.16,0.15,381,8,326,22.8%,7.6%,0,41
706,Katare,TOP,28,14.3%,1.4,1.8,3.6,3.4,7,330,21.5,336,0.99,0.48,0.17,0.20,-704,-12,-351,10.7%,21.4%,0,13
707,Katsurii,ADC,25,52%,4.7,5,2.2,5.2,8.9,442,28.2,565,1.16,0.44,0.31,0.14,278,9,42,12%,0%,1,-
708,Kaxe,MID,21,33.3%,2.3,2.6,3.2,5,7.2,346,20.5,368,0.72,0.40,0.11,0.18,-598,-6,-384,14.3%,9.5%,0,1
709,Kaze,TOP,38,42.1%,2.5,2.2,2.6,4.5,7.4,364,19.4,362,0.85,0.41,0.10,0.10,-181,-4,-117,23.7%,7.9%,0,7
710,KazeTAR,ADC,16,50%,4.3,5.5,2.8,6.6,9.1,452,25.6,573,1.09,0.42,0.30,0.18,440,14,371,25%,6.3%,0,4
711,KeY,SUPPORT,93,45.2%,2.8,0.6,2.5,6.1,1.6,248,7.9,122,2.63,1.61,0.40,0.50,60,2,-67,19.4%,14%,0,-
712,Keduii,ADC,17,70.6%,4.8,4.2,2.2,6.3,8.8,429,26.4,545,1.30,0.58,0.34,0.24,121,1,27,23.5%,11.8%,0,5
713,Kehvo,ADC,10,40%,3,3.5,2.2,3.2,9.1,424,27.8,482,1.32,0.39,0.29,0.14,256,2,-21,20%,0%,0,1
714,Kellin,SUPPORT,62,9.7%,1.7,0.3,3.2,4.9,1.3,224,8.9,133,2.33,1.65,0.29,0.56,-221,-4,-315,19.4%,16.1%,0,-
715,Kenapil,JUNGLE,16,37.5%,3,3,3.3,6.8,5.1,339,15.5,291,1.46,0.59,0.32,0.32,-16,5,209,18.8%,0%,0,2
716,Kerberos,TOP,27,63%,2.5,2.8,3,4.6,7.7,379,21.3,399,1.03,0.38,0.18,0.12,-439,-2,-203,14.8%,22.2%,0,12
717,Kermys,JUNGLE,1,0%,0.7,1,3,1,4.8,273,19.7,266,1.00,0.36,0.20,0.32,-1415,-14,-1375,0%,0%,0,-
718,Kesav,ADC,10,20%,1.7,3,3.7,3.4,8.8,386,23.8,383,0.70,0.35,0.15,0.07,-731,-7,-182,10%,0%,0,3
719,Keymaker,ADC,48,54.2%,4.4,2.8,1.8,5.3,9.1,411,25.2,454,1.04,0.37,0.28,0.16,-138,-0,91,18.8%,10.4%,0,2
720,Keysie,MID,14,28.6%,1.7,2.2,4,4.6,7.6,363,25.0,466,1.03,0.48,0.20,0.25,170,0,-63,14.3%,14.3%,0,6
721,Khan,TOP,141,67.4%,3.5,2.9,2.1,4.5,8.5,406,25.1,445,1.15,0.57,0.20,0.26,118,1,82,29.8%,12.8%,0,44
722,Khantos,ADC,18,27.8%,3,3.4,2.2,3.3,9.2,428,31.3,537,1.09,0.40,0.28,0.17,28,1,267,27.8%,11.1%,0,2
723,Khomzar,TOP,14,21.4%,1.3,1.9,3.7,3.1,6.8,334,23.1,387,0.76,0.41,0.10,0.11,-540,-7,-231,14.3%,21.4%,0,5
724,Kiaya,JUNGLE,2,0%,0.7,0,4.5,3,4.9,278,11.1,161,1.35,0.39,0.30,0.40,86,13,602,50%,0%,0,-
725,Kiaya,MID,35,74.3%,4.5,3.9,2.3,6.4,8.4,413,20.3,383,1.06,0.48,0.26,0.19,14,-1,135,20%,11.4%,0,11
726,Kiaya,TOP,35,37.1%,2.1,2.8,3.1,3.9,8.2,392,21.1,392,1.01,0.52,0.17,0.24,-46,0,8,20%,14.3%,0,12
727,Kiddo,TOP,2,50%,4.5,0,2,9,5.6,290,14.8,280,1.00,0.54,0.11,0.19,-958,-17,-606,0%,0%,0,-
728,Kiddo,SUPPORT,22,63.6%,3.7,1.6,2.5,7.6,0.9,253,10.3,195,1.92,1.06,0.23,0.31,58,-2,-19,40.9%,0%,0,2
729,Kiin,TOP,98,42.9%,2.6,2.5,2.5,3.9,8.6,392,25.0,410,1.13,0.52,0.24,0.21,269,8,184,20.4%,11.2%,0,31
730,Kikis,JUNGLE,18,11.1%,1.9,1.5,3.2,4.5,4.9,300,17.5,252,1.42,0.56,0.31,0.23,-328,-4,-256,22.2%,22.2%,0,2
731,Kindless,ADC,46,28.3%,2.5,3,2.7,3.8,9.1,411,31.4,559,1.22,0.47,0.31,0.20,-40,4,-117,23.9%,15.2%,0,2
732,Kine,SUPPORT,5,40%,3.2,0.8,3,8.8,2,324,7.6,152,-,1.38,0.32,0.45,-,-,-,-,-,0,-
733,KingJ,TOP,32,56.3%,2.8,3.7,3.4,6,7.6,390,20.9,397,1.06,0.47,0.16,0.18,-108,-10,-150,12.5%,18.8%,0,12
734,Kino,SUPPORT,15,33.3%,2.2,0.7,3,6,1.2,232,6.1,103,2.71,1.84,0.38,0.61,-107,-4,-64,33.3%,0%,0,1
735,Kinzu,ADC,14,42.9%,3.1,3.1,2.5,4.5,9.4,413,29.3,528,1.26,0.44,0.31,0.20,354,8,219,21.4%,0%,0,-
736,Kira,ADC,3,100%,3.5,6.3,3.7,6.3,7,457,28.8,702,1.51,0.63,0.24,0.23,-240,-27,-307,0%,33.3%,0,3
737,Kira,MID,29,65.5%,3.6,2.6,2.6,6.8,7.7,373,24.8,504,1.38,0.59,0.27,0.28,-3,-2,83,31%,3.4%,0,7
738,Kireas,JUNGLE,17,41.2%,3.4,2.1,3.2,9,4.3,308,12.6,233,1.80,0.69,0.46,0.40,-384,-12,-451,23.5%,11.8%,0,1
739,Kirei,JUNGLE,61,67.2%,3.4,3.9,3.3,7.3,5.2,358,20.7,425,1.50,0.49,0.38,0.30,146,4,141,45.9%,9.8%,0,12
740,Kirian,TOP,1,0%,1.7,1,3,4,7.9,363,26.4,470,0.48,0.34,0.03,0.03,1469,21,583,100%,0%,0,-
741,Kirian,JUNGLE,3,0%,1.4,0.3,3.3,4.3,4.1,257,12.3,180,1.49,0.61,0.28,0.32,-1288,-13,-1016,0%,0%,0,-
742,Kirian,ADC,2,50%,1.1,3.5,4,1,8.4,372,30.1,432,0.89,0.37,0.13,0.10,-1206,-14,-224,0%,0%,0,-
743,Kirino,MID,28,46.4%,3.2,3.9,2.6,4.4,7.9,382,26.8,520,1.03,0.42,0.14,0.16,-148,-5,-52,10.7%,14.3%,0,19
744,Kitty,ADC,6,33.3%,2.3,2.7,3,4.2,7.8,372,22.4,369,1.22,0.55,0.29,0.25,-522,-3,-60,50%,16.7%,0,-
745,Kituruken,JUNGLE,8,12.5%,1.8,1.6,3.3,4.3,4.4,294,10.2,152,1.26,0.46,0.28,0.35,85,-7,56,50%,0%,0,-
746,Kiwi,JUNGLE,4,25%,1.9,0.8,2.5,4,4.6,274,10.9,175,1.49,0.53,0.40,0.35,-596,-1,-607,25%,25%,0,-
747,Klaus,ADC,4,0%,3.1,2.8,1.8,2.8,8.7,388,24.5,371,0.94,0.40,0.27,0.17,-366,-17,-572,25%,0%,0,1
748,Knight (VN),JUNGLE,3,0%,0.9,1.7,3.7,1.7,4.3,272,13.8,212,1.16,0.56,0.30,0.29,-562,-7,-931,33.3%,33.3%,0,-
749,Knight9,MID,98,63.3%,4.9,4.1,1.8,4.8,9.3,430,28.9,539,1.25,0.34,0.27,0.15,171,20,560,0%,0%,0,1
750,Koala,SUPPORT,78,65.4%,3.4,0.8,2.5,7.7,1.4,255,8.4,159,2.60,1.62,0.36,0.48,-20,-3,8,24.4%,19.2%,0,4
751,Kobbe,ADC,78,56.4%,5.3,4.7,1.8,4.6,10,466,26.8,493,1.10,0.32,0.34,0.09,321,1,41,28.2%,6.4%,0,4
752,Koearn kid,MID,45,51.1%,3,3.5,2.9,5.1,8.6,402,28.1,502,1.02,0.40,0.21,0.12,73,4,36,22.2%,8.9%,0,18
753,Kofte,MID,35,37.1%,2.9,2.3,2.5,5,8.3,374,26.1,412,0.94,0.41,0.21,0.14,-234,1,31,20%,5.7%,0,9
754,Kold,JUNGLE,50,50%,2.9,2.1,2.6,5.5,4.9,317,12.8,223,1.74,0.67,0.42,0.32,-88,-2,-63,30%,4%,0,3
755,Koldo,JUNGLE,36,33.3%,2.4,1.6,3.1,6.1,4.7,311,13.0,223,1.42,0.64,0.29,0.40,-71,-4,-21,30.6%,11.1%,0,-
756,Konektiv,MID,2,100%,14,4,0.5,3,8.5,424,20.2,379,0.95,0.34,0.14,0.15,182,12,839,0%,0%,0,1
757,Konektiv,TOP,75,62.7%,4.3,2.7,1.7,4.5,7.9,381,18.3,342,0.89,0.41,0.14,0.13,121,2,192,10.7%,6.7%,0,20
758,KongMing,MID,10,30%,3,2,2.1,4.3,8.2,371,20.9,327,-,0.43,0.19,0.19,-,-,-,-,-,0,-
759,Kongyue,JUNGLE,80,51.3%,3.5,2.5,2.3,5.5,5.3,334,15.5,263,1.76,0.68,0.40,0.47,175,6,271,43.8%,10%,1,6
760,Korpse,SUPPORT,16,43.8%,2.2,0.5,2.8,5.6,1.5,237,8.5,130,2.24,1.36,0.33,0.39,-328,-3,-68,12.5%,6.3%,0,-
761,KouZZe,ADC,1,0%,1.2,2,5,4,7.3,356,34.3,753,0.96,0.37,0.22,0.15,-2039,-32,-2194,0%,0%,0,-
762,Kousamek,ADC,9,44.4%,2.2,2.6,3.1,4.2,7.6,375,31.3,488,1.40,0.50,0.31,0.19,-410,-10,-128,11.1%,22.2%,0,2
763,Kramer,ADC,75,36%,4.1,3.8,2,4.3,9.7,442,30.7,558,-,0.43,0.37,0.13,-,-,-,0%,0%,0,-
764,Krastyel,MID,26,53.8%,3.3,2.5,2.5,5.7,8.6,388,24.7,449,1.29,0.65,0.24,0.37,28,1,35,11.5%,19.2%,0,5
765,Krastymel,MID,19,36.8%,3,3.7,2.5,3.9,8.4,389,26.1,454,1.31,0.58,0.24,0.31,187,3,87,15.8%,5.3%,0,4
766,Kreox,JUNGLE,41,53.7%,4.1,2.2,2.4,7.4,5,338,14.0,266,1.84,0.88,0.40,0.41,164,-2,155,31.7%,4.9%,0,3
767,Kroghsen,MID,27,63%,3.7,3.6,2.5,5.7,9,414,30.4,558,1.17,0.47,0.27,0.21,-93,0,-132,11.1%,11.1%,0,8
768,Kruimel,MID,9,22.2%,4.6,2.6,1.9,6.1,8.7,379,28.9,523,1.14,0.47,0.20,0.22,-298,-3,-287,0%,22.2%,0,3
769,Krykiet,ADC,15,20%,2.2,3.7,3,2.9,8.4,398,25.7,439,0.75,0.32,0.20,0.08,-173,-9,-328,33.3%,13.3%,0,1
770,Kryze,TOP,6,16.7%,1.6,2.8,4.3,4.2,8.1,384,28.0,432,0.73,0.39,0.10,0.12,-527,-8,-414,33.3%,16.7%,0,1
771,Kubu,TOP,5,40%,2.6,3.4,3.2,4.8,7.4,371,16.7,343,1.05,0.58,0.14,0.31,-346,-15,-658,20%,0%,0,1
772,Kui,JUNGLE,4,25%,2.1,2.8,3.8,5.3,4.2,303,12.8,197,-,0.76,0.38,0.50,-,-,-,-,-,0,-
773,Kumo,TOP,40,67.5%,4.1,2.9,2.2,6.2,7.8,390,20.0,425,0.97,0.50,0.13,0.22,134,0,69,25%,7.5%,0,15
774,Kuroko,MID,10,40%,2.3,3.6,3.7,4.9,7.7,381,25.4,467,1.21,0.45,0.22,0.18,-600,-8,-247,10%,20%,0,5
775,Kuroko,ADC,2,50%,2.2,3,2.5,2.5,7.5,373,31.5,502,1.43,0.43,0.45,0.18,-204,-6,314,50%,0%,0,1
776,Kuroko,JUNGLE,32,31.3%,2.3,2.1,3.5,5.9,4.9,316,14.7,259,1.79,0.70,0.46,0.33,-279,2,-142,31.3%,9.4%,0,3
777,Kuroko,TOP,2,50%,4.2,6.5,2.5,4,8.6,448,25.7,423,1.53,0.56,0.18,0.17,928,8,628,0%,50%,0,-
778,Kuzan,MID,30,43.3%,4.7,2.2,1.4,4.3,8.8,380,25.6,424,1.10,0.44,0.34,0.16,-60,0,-134,13.3%,13.3%,0,1
779,Kyoshi,ADC,4,0%,1.3,1.5,4,3.8,7.7,347,33.6,533,0.74,0.35,0.18,0.17,-461,-9,-518,25%,0%,0,-
780,Kyoshi,MID,7,28.6%,2.5,4.4,3.4,4.1,8.4,397,30.7,596,0.68,0.28,0.13,0.13,-460,-7,-144,28.6%,28.6%,0,5
781,L1BERO,JUNGLE,16,81.3%,5.5,5.4,2.3,7.2,5.8,412,17.2,366,1.39,0.37,0.36,0.22,874,8,280,37.5%,6.3%,0,7
782,LL,TOP,40,45%,2.6,3.3,3,4.4,8.9,413,23.5,411,1.05,0.44,0.22,0.15,569,13,546,20%,22.5%,0,28
783,LUBEEENZZZ,TOP,5,20%,2.4,1.4,2.2,3.8,7.6,341,20.7,304,1.02,0.44,0.12,0.13,-43,-12,3,0%,0%,0,3
784,LUSKKA,ADC,32,21.9%,3.6,2.6,1.7,3.4,9,408,28.4,452,0.97,0.46,0.20,0.19,-307,-3,-198,25%,9.4%,0,-
785,Laba,JUNGLE,18,38.9%,2.5,2.6,3.4,6.1,5.1,329,12.2,239,1.60,0.48,0.38,0.37,-30,-4,-66,22.2%,27.8%,0,4
786,Lachtan,MID,15,46.7%,3.5,3.5,2.3,4.7,8.5,406,30.5,513,0.91,0.49,0.08,0.19,-170,-2,90,26.7%,6.7%,0,5
787,Lago,SUPPORT,21,14.3%,1.8,0.2,2.8,4.8,1.5,223,8.0,107,2.12,1.46,0.21,0.53,-435,2,-373,38.1%,0%,0,1
788,Lamabear,JUNGLE,50,56%,4.6,2.4,2.1,7.3,5,332,14.2,263,1.72,0.69,0.36,0.37,227,-3,116,48%,2%,0,7
789,Langx,TOP,49,67.3%,3.7,2.6,1.9,4.5,8.3,387,18.7,324,1.00,0.45,0.18,0.14,-46,2,58,0%,2%,0,2
790,Larssen,MID,50,60%,6.2,3.9,1.4,4.9,9.3,422,26.7,466,0.78,0.37,0.13,0.11,331,9,268,26%,6%,0,9
791,Lastwolf,ADC,8,87.5%,6.6,5.5,1.6,5.3,8.8,461,27.6,500,0.97,0.42,0.23,0.19,622,3,348,0%,12.5%,0,3
792,Lava,MID,44,34.1%,2.6,2.5,2.2,3.2,8.3,372,28.2,389,1.10,0.48,0.29,0.26,-223,-6,-353,22.7%,11.4%,0,9
793,Lazuriel,MID,6,33.3%,2.9,3.2,2.7,4.7,9,387,26.6,524,0.99,0.48,0.21,0.22,64,2,-116,0%,0%,0,1
794,Lazuriel,JUNGLE,4,0%,0.9,2,5.8,3.3,4.7,317,14.0,228,1.19,0.61,0.18,0.29,-670,-4,-265,25%,25%,0,1
795,LeChase,JUNGLE,39,46.2%,3.2,1.7,2.4,5.9,5.2,328,12.8,211,1.62,0.57,0.46,0.29,-270,-1,-138,28.2%,5.1%,0,3
796,Leaky,TOP,59,32.2%,2,2.3,2.8,3.4,8,370,24.4,404,0.93,0.45,0.14,0.15,-8,0,-64,13.6%,13.6%,0,10
797,Lehends,SUPPORT,109,70.6%,6.4,0.7,1.4,8.1,1.8,274,10.2,180,2.59,1.55,0.36,0.46,354,4,392,33%,8.3%,0,3
798,Lekcycc,SUPPORT,31,35.5%,3.2,1.2,2.5,6.8,1.9,265,9.7,180,2.18,1.35,0.30,0.38,352,8,224,12.9%,9.7%,0,2
799,LemonHead,MID,2,100%,3.2,3,2.5,5,8.9,426,20.2,400,1.19,0.44,0.27,0.17,270,-6,-100,0%,0%,0,-
800,Leozuxo,JUNGLE,6,16.7%,1.4,1.7,4.2,4.2,4.4,296,12.3,184,1.42,0.49,0.37,0.39,-1134,-14,-976,50%,16.7%,0,-
801,Levi,ADC,1,0%,1.5,1,2,2,8.8,360,16.1,211,0.28,0.28,0.00,0.05,-1409,-16,-664,100%,0%,0,-
802,Levi,JUNGLE,47,63.8%,4.7,4.3,2.5,7.7,5.9,379,20.3,395,1.97,0.81,0.41,0.32,764,14,818,34%,4.3%,0,14
803,Lewus,ADC,15,33.3%,1.6,1.7,3,3.2,8.1,361,24.5,381,0.76,0.39,0.14,0.22,-858,-14,-501,26.7%,33.3%,0,-
804,Lewus,MID,2,0%,1.7,2.5,3,2.5,8.6,362,33.1,563,0.77,0.48,0.14,0.33,-570,-26,-1097,0%,0%,0,-
805,Ley,SUPPORT,25,48%,2.4,0.6,3.4,7.8,1.9,286,8.0,132,-,1.29,0.30,0.40,-,-,-,-,-,0,-
806,Leyan,JUNGLE,19,57.9%,3.2,2.9,3.4,8.2,5.2,347,14.0,312,2.17,0.79,0.50,0.30,177,9,396,0%,5.3%,0,-
807,Leza,MID,57,54.4%,3.4,3.6,2.2,4,9.3,421,27.9,490,1.17,0.42,0.27,0.20,251,6,10,12.3%,12.3%,0,17
808,Liang,TOP,48,39.6%,2.4,2.3,2.4,3.6,7.9,371,22.8,365,0.91,0.43,0.17,0.14,-141,-8,-325,18.8%,12.5%,0,9
809,Librid,MID,51,70.6%,4.1,4,2.6,6.8,7.9,396,24.4,510,1.10,0.45,0.23,0.21,-39,1,1,17.6%,5.9%,0,7
810,Librid,ADC,1,0%,0.7,1,3,1,3.9,294,22.0,185,1.40,0.73,0.20,0.09,-1865,-76,-1141,0%,0%,0,-
811,Licorice,TOP,57,57.9%,3.1,2.8,2.4,4.6,8.2,392,22.0,428,1.11,0.51,0.16,0.21,-37,2,-3,12.3%,7%,0,21
812,Lies,TOP,58,39.7%,2.5,2.1,2.7,4.6,7.7,368,23.1,401,-,0.45,0.16,0.14,-,-,-,0%,0%,0,-
813,Life,SUPPORT,97,46.4%,3.4,0.6,1.9,6,1.5,255,9.0,136,2.34,1.65,0.25,0.45,-12,-2,94,33%,8.2%,0,1
814,Light,ADC,6,16.7%,2.4,4.2,3.3,3.8,8.7,409,25.6,441,1.20,0.47,0.37,0.14,-286,-3,-252,50%,16.7%,1,1
815,Light (CN),ADC,11,36.4%,2.4,2.3,3.1,5.2,9.8,421,28.7,506,0.99,0.30,0.35,0.11,-529,-6,-314,18.2%,27.3%,0,1
816,LilV,ADC,78,65.4%,5.9,3.4,1.4,4.9,9.9,446,27.7,532,1.24,0.41,0.36,0.11,160,3,172,16.7%,2.6%,0,8
817,Lilipp,SUPPORT,20,45%,2.2,2.1,4.3,7.5,1.3,277,11.3,204,2.39,1.28,0.39,0.42,78,0,34,15%,10%,0,-
818,Lima,JUNGLE,15,6.7%,1.7,1.3,3.1,3.9,4.5,283,10.0,155,1.34,0.57,0.30,0.37,-381,-10,-574,40%,13.3%,0,1
819,Limit,SUPPORT,18,66.7%,5.4,1.2,2.4,11.7,1.2,279,10.1,189,2.43,1.37,0.31,0.37,188,-0,127,38.9%,5.6%,0,1
820,Limitationss,ADC,23,39.1%,3.4,2.9,2.4,5.3,8.9,413,29.2,543,1.21,0.47,0.37,0.22,4,-3,111,13%,4.3%,0,3
821,Lindarang,TOP,73,20.5%,1.6,1.5,2.5,2.7,8,355,23.7,345,0.94,0.52,0.14,0.22,-249,-7,-243,12.3%,15.1%,0,11
822,Lion,SUPPORT,3,0%,2.2,2.3,3.3,5,1.3,245,11.6,171,1.72,0.98,0.26,0.41,170,9,-30,66.7%,0%,0,-
823,Lira,JUNGLE,77,46.8%,3.5,1.9,2.2,6,5.3,325,11.1,200,2.19,1.03,0.50,0.43,246,6,244,41.6%,11.7%,0,-
824,LlDER,MID,70,62.9%,2.5,4.7,3.5,3.9,9.1,437,25.0,519,0.85,0.39,0.15,0.13,289,10,136,22.9%,7.1%,0,51
825,Lloyd,JUNGLE,25,76%,4.6,2.6,2.2,7.6,4.9,346,13.1,253,1.63,0.46,0.39,0.33,286,4,261,32%,8%,0,4
826,Lloyd,ADC,11,63.6%,5.6,3.6,1.5,4.5,10.1,445,25.9,480,1.21,0.35,0.26,0.13,472,22,366,36.4%,9.1%,0,1
827,Lmzs,MID,5,20%,1.5,1.8,3.8,4,8.3,373,25.6,370,0.96,0.38,0.20,0.13,-518,-9,-468,0%,20%,0,1
828,Lodik,SUPPORT,1,100%,25,1,1,24,0.7,393,22.1,691,1.15,0.40,0.09,0.18,1726,-16,1439,100%,0%,0,-
829,Lodik,ADC,34,67.6%,6,4.6,1.5,4.6,9.4,447,24.1,490,1.01,0.29,0.25,0.12,404,7,23,20.6%,2.9%,0,10
830,LokeN,ADC,98,63.3%,4.8,3.1,1.7,5.1,9.1,435,24.8,469,1.18,0.45,0.34,0.18,-108,4,-348,0%,1%,0,-
831,Looch,ADC,25,60%,4.1,3.4,2.4,6.4,8.5,419,24.2,455,1.12,0.42,0.28,0.20,-52,-4,14,16%,0%,0,2
832,Lost,ADC,48,45.8%,5.1,3.6,1.8,5.5,9.2,424,27.9,532,1.11,0.42,0.32,0.18,-47,1,-115,22.9%,4.2%,0,3
833,Lostboy,ADC,20,35%,3.2,3.8,2.9,5.3,8.7,405,27.4,509,0.88,0.32,0.22,0.10,-443,-5,-241,15%,5%,0,1
834,Lourlo,TOP,53,43.4%,4,2.4,1.8,4.8,8.1,377,21.4,390,0.94,0.48,0.14,0.15,-232,-4,-70,18.9%,7.5%,0,3
835,LoveZrr,TOP,4,50%,1.9,1.5,4.8,7.8,6.7,341,18.1,402,-,0.52,0.09,0.24,-,-,-,-,-,0,-
836,Luana,TOP,9,55.6%,3.3,3.3,2.7,5.6,7.9,397,19.2,378,0.93,0.41,0.13,0.14,-10,-6,56,11.1%,11.1%,1,2
837,Lucas,SUPPORT,8,37.5%,2.9,0.9,3.4,9,1.8,252,8.3,183,-,1.33,0.28,0.40,-,-,-,0%,0%,0,-
838,Luci,SUPPORT,60,78.3%,4.1,1,2.5,9,1.4,271,10.3,192,2.52,1.58,0.31,0.45,213,0,73,35%,3.3%,0,3
839,Lucker,ADC,96,54.2%,4,4.4,2.2,4.4,9.4,444,30.8,583,1.02,0.31,0.29,0.09,12,1,-111,21.9%,7.3%,1,7
840,Luger,ADC,12,33.3%,3.2,4,2.9,5.3,8.9,422,27.2,472,1.05,0.29,0.35,0.12,7,-8,13,16.7%,0%,0,-
841,Lukezy,MID,23,43.5%,1.7,1.7,3.3,3.8,8.4,374,22.8,408,1.14,0.51,0.24,0.21,-526,2,-172,8.7%,21.7%,0,7
842,Lulas,JUNGLE,30,46.7%,2.8,1.9,2.8,6.1,4.3,301,11.4,207,1.16,0.46,0.22,0.28,-419,-12,-463,33.3%,6.7%,0,3
843,Luna,MID,50,68%,6,4.4,1.5,4.8,8.8,410,28.9,521,1.07,0.47,0.25,0.17,152,2,254,16%,4%,0,41
844,LvMao,SUPPORT,98,51%,2.7,1,3.4,8,1.4,260,9.1,166,2.36,1.39,0.27,0.44,-90,-4,-742,1%,1%,0,-
